timestamp,up_metrics,prometheus_build_info,prometheus_build_info_branch,prometheus_build_info_container,prometheus_build_info_endpoint,prometheus_build_info_goarch,prometheus_build_info_goos,prometheus_build_info_goversion,prometheus_build_info_instance,prometheus_build_info_job,prometheus_build_info_namespace,prometheus_build_info_pod,prometheus_build_info_revision,prometheus_build_info_service,prometheus_build_info_version,node_load1,node_memory_available,container_cpu_all,hour,day_of_week,is_weekend,up_metrics_rolling_10,up_metrics_rolling_30,up_metrics_rolling_120,prometheus_build_info_rolling_10,prometheus_build_info_rolling_30,prometheus_build_info_rolling_120,node_load1_rolling_10,node_load1_rolling_30,node_load1_rolling_120,node_memory_available_rolling_10,node_memory_available_rolling_30,node_memory_available_rolling_120,container_cpu_all_rolling_10,container_cpu_all_rolling_30,container_cpu_all_rolling_120,up_metrics_rate_of_change,up_metrics_rate_of_change_pct,prometheus_build_info_rate_of_change,prometheus_build_info_rate_of_change_pct,node_load1_rate_of_change,node_load1_rate_of_change_pct,node_memory_available_rate_of_change,node_memory_available_rate_of_change_pct,container_cpu_all_rate_of_change,container_cpu_all_rate_of_change_pct
2025-06-08 17:14:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.74,2011787264.0,0.0062741249638797285,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.6605000000000001,0.6633333333333333,0.6633333333333333,2098839142.4,2115999334.4,2115999334.4,0.0026456069856641362,0.0029571964415482156,0.0029571964415482156,0.0,0.0,0.0,0.0,-0.345,-31.79723502304147,-47613952.0,-2.312028934919308,0.0009914046023292902,18.766933217686365
2025-06-08 17:14:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.535,1982840832.0,0.007652461483179183,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.653,0.6553125,0.6553125,2082316697.6,2107676928.0,2107676928.0,0.0032307497553597997,0.003250650506650151,0.003250650506650151,0.0,0.0,0.0,0.0,-0.20499999999999996,-27.702702702702698,-28946432.0,-1.4388415971202773,0.001378336519299454,21.96858569497049
2025-06-08 17:15:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,2.4949999999999997,1932959744.0,0.00843531695385568,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.857,0.7635294117647059,0.7635294117647059,2061552844.8,2097399446.5882354,2097399446.5882354,0.003923368299660746,0.003555630885897535,0.003555630885897535,0.0,0.0,0.0,0.0,1.9599999999999995,366.35514018691583,-49881088.0,-2.515637523445957,0.0007828554706764976,10.230113178580336
2025-06-08 17:15:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,1.5699999999999998,1910032384.0,0.008957689961846125,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9804999999999999,0.8083333333333333,0.8083333333333333,2039822950.4,2086990165.3333333,2086990165.3333333,0.004665229635723618,0.0038557452790057897,0.0038557452790057897,0.0,0.0,0.0,0.0,-0.9249999999999998,-37.07414829659318,-22927360.0,-1.1861271333336143,0.0005223730079904447,6.1926897453648655
2025-06-08 17:16:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.99,1892085760.0,0.008064212444389606,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0459999999999998,0.8178947368421052,0.8178947368421052,2017093836.8,2076732038.7368422,2076732038.7368422,0.005333030947674534,0.004077243550868096,0.004077243550868096,0.0,0.0,0.0,0.0,-0.5799999999999998,-36.94267515923566,-17946624.0,-0.9395978911318825,-0.0008934775174565188,-9.974418865378754
2025-06-08 17:16:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.665,1903366144.0,0.0068246384177482475,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0605,0.8102499999999999,0.8102499999999999,1996511641.6,2068063744.0,2068063744.0,0.005890113779310006,0.004214613294212103,0.004214613294212103,0.0,0.0,0.0,0.0,-0.32499999999999996,-32.82828282828283,11280384.0,0.5961877753363654,-0.0012395740266413586,-15.37129676567175
2025-06-08 17:17:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,1.6600000000000001,1897084928.0,0.006299004977579453,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.182,0.8507142857142856,0.8507142857142856,1975455129.6,2059921895.6190476,2059921895.6190476,0.006386184384419116,0.004313870041039121,0.004313870041039121,0.0,0.0,0.0,0.0,0.9950000000000001,149.62406015037595,-6281216.0,-0.33000565969928397,-0.0005256334401687948,-7.701996911687292
2025-06-08 17:17:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,1.075,1873057792.0,0.0054595846289163035,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.204,0.860909090909091,0.860909090909091,1953821696.0,2051428072.7272727,2051428072.7272727,0.006709399283158249,0.0043659479768517195,0.0043659479768517195,0.0,0.0,0.0,0.0,-0.5850000000000002,-35.24096385542169,-24027136.0,-1.266529275804773,-0.0008394203486631491,-13.326237265265938
2025-06-08 17:18:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.8300000000000001,1787742208.0,0.0060855158211376836,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1644999999999999,0.8595652173913043,0.8595652173913043,1925035827.2,2039963469.9130435,2039963469.9130435,0.006933527001408245,0.004440711796168501,0.004440711796168501,0.0,0.0,0.0,0.0,-0.24499999999999988,-22.790697674418592,-85315584.0,-4.554882629056644,0.00062593119222138,11.464813438483578
2025-06-08 17:18:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.5900000000000001,1723506688.0,0.007433976803365674,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1149999999999998,0.8483333333333333,0.8483333333333333,1891446374.4,2026777770.6666667,2026777770.6666667,0.007148652645589769,0.004565431171468383,0.004565431171468383,0.0,0.0,0.0,0.0,-0.24,-28.915662650602403,-64235520.0,-3.5931086547350777,0.00134846098222799,22.158532191210313
2025-06-08 17:19:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,1.5750000000000002,1648226304.0,0.009113195407358715,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.1985000000000001,0.8774,0.8774,1855090278.4,2011635712.0,2011635712.0,0.007432559689937668,0.0047473417409039965,0.0047473417409039965,0.0,0.0,0.0,0.0,0.9850000000000001,166.94915254237287,-75280384.0,-4.367861437622689,0.001679218603993042,22.58842942895367
2025-06-08 17:19:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,1.26,1647777792.0,0.0100350968310032,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.2710000000000001,0.8921153846153846,0.8921153846153846,1821583974.4,1997641176.6153846,1997641176.6153846,0.007670823224720067,0.004950716936677043,0.004950716936677043,0.0,0.0,0.0,0.0,-0.31500000000000017,-20.000000000000007,-448512.0,-0.02721179724601841,0.0009219014236444851,10.11611605409084
2025-06-08 17:20:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.8450000000000001,1609445376.0,0.00902443149505039,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.106,0.8903703703703704,0.8903703703703704,1789232537.6,1983263554.3703704,1983263554.3703704,0.0077297346788395395,0.005101595253653834,0.005101595253653834,0.0,0.0,0.0,0.0,-0.4149999999999999,-32.93650793650793,-38332416.0,-2.326309784371705,-0.0010106653359528098,-10.071306266127722
2025-06-08 17:20:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.6749999999999999,1609453568.0,0.0076593259414784835,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0165000000000002,0.8826785714285714,0.8826785714285714,1759174656.0,1969913197.7142856,1969913197.7142856,0.007599898276802776,0.0051929427782189995,0.0051929427782189995,0.0,0.0,0.0,0.0,-0.17000000000000015,-20.118343195266284,8192.0,0.0005089952179959667,-0.0013651055535719072,-15.126776177763922
2025-06-08 17:21:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.8200000000000001,1622523904.0,0.006376563636550777,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.8805172413793103,0.8805172413793103,1732218470.4,1957934256.5517242,1957934256.5517242,0.007431133396018893,0.005233757290575267,0.005233757290575267,0.0,0.0,0.0,0.0,0.14500000000000013,21.481481481481502,13070336.0,0.8120977367642723,-0.0012827623049277061,-16.74771794187536
2025-06-08 17:21:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,1.055,1616664576.0,0.005368112579136324,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0385,0.8863333333333333,0.8863333333333333,1703548313.6,1946558600.5333333,1946558600.5333333,0.007285480812157701,0.00523823580019397,0.00523823580019397,0.0,0.0,0.0,0.0,0.23499999999999988,28.658536585365834,-5859328.0,-0.3611242944128623,-0.001008451057414453,-15.814961080823565
2025-06-08 17:22:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.64,1627084800.0,0.004739845153372001,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9365,0.8926666666666667,0.8783870967741936,1676548300.8,1931309260.8,1936252994.064516,0.007129564829736955,0.005390179402869962,0.00522215868255455,0.0,0.0,0.0,0.0,-0.4149999999999999,-39.33649289099526,10420224.0,0.6445507716747345,-0.0006282674257643232,-11.703693178979591
2025-06-08 17:22:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.9299999999999999,1587699712.0,0.0043895857825612065,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.922,0.8931666666666668,0.88,1648012492.8,1910416861.8666666,1925360704.0,0.007022564945101446,0.00539663273010215,0.005196140779429759,0.0,0.0,0.0,0.0,0.2899999999999999,45.31249999999998,-39385088.0,-2.4205922149847403,-0.00035025937081079473,-7.389679609293031
2025-06-08 17:23:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.72,1593499648.0,0.004631809059962005,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9110000000000001,0.8901666666666667,0.8751515151515151,1628588236.8,1891143953.0666666,1915304308.3636363,0.006877194268983877,0.0053769783318324505,0.005179039818233767,0.0,0.0,0.0,0.0,-0.20999999999999996,-22.580645161290324,5799936.0,0.36530434289074876,0.00024222327740079826,5.518135181754391
2025-06-08 17:23:46,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.6,1602764800.0,0.004467150730330874,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9120000000000001,0.8888333333333333,0.8670588235294118,1616514048.0,1873469576.5333333,1906111969.8823528,0.006580511661680398,0.005349798004145179,0.0051581019038836814,0.0,0.0,0.0,0.0,-0.12,-16.666666666666664,9265152.0,0.5814342043707788,-0.00016465832963113037,-3.5549464042993417
2025-06-08 17:24:16,1.0,1.0,HEAD,prometheus,http-web,amd64,linux,go1.19.5,10.0.1.23:9090,monitoring-kube-prometheus-prometheus,monitoring,prometheus-monitoring-kube-prometheus-prometheus-0,225c61122d88b01d1f0eaaee0e05b6f3e0567ac0,monitoring-kube-prometheus-prometheus,2.42.0,0.46499999999999997,1603495936.0,0.004377223363305202,17,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8009999999999999,0.8866666666666667,0.8555714285714285,1612041011.2,1855323477.3333333,1897465797.4857142,0.006106914457275047,0.0053950270442922835,0.005135791088438582,0.0,0.0,0.0,0.0,-0.135,-22.499999999999996,731136.0,0.045617173524159504,-8.992736702567207e-05,-2.013081099213576
